类别,名称,最低版本,最高版本,窗口模式,对话框模式,子对话框模式,说明
功能函数,,,,,,,
,biAddWindow,v2.3,-,O,X,X,
,biAlert,v2.0,-,O,O,O,
,biCloseChildDialog,v6.0,-,X,X,O,
,biConfigDataEncryption,v4.4,-,X,O,O,
,biConfirm,v6.1,-,O,O,O,
,biDirectoryDelete,v2.4,-,O,O,O,
,biDirectoryMake,v2.4,-,O,O,O,
,biFileClose,v2.0,v3.4,O,O,X,4.0后改为使用biQueryFileText或biWriteFileText
,biFileCreate,v2.0,v3.4,O,O,X,4.0后改为使用biWriteFileText
,biFileDelete,v2.4,-,O,O,O,
,biFileOpen,v2.0,v3.4,O,O,X,4.0后改为使用biQueryFileText
,biFileReadLine,v2.0,v3.4,O,O,X,4.0后改为使用biQueryFileText
,biFileWriteLine,v2.0,v3.4,O,O,X,4.0后改为使用biWriteFileText
,biGetBufferRange,v2.5,v3.4,O,X,X,4.0后改为使用biGetBufferRangeX
,biGetBufferRangeX,v4.0,-,O,X,X,
,biGetDataPath,v2.4,-,O,O,O,
,biGetDirsInDirectory,v2.4,v3.4,O,O,X,4.0后改为使用biQueryDirsInDirectory
,biGetFilesInDirectory,v2.4,v3.4,O,O,X,4.0后改为使用biQueryFilesInDirectory
,biGetGeneralSamplePair,v1.0,-,O,X,X,4.0后需要事先调用biListenGeneralSample
,biGetGenerationPath,v2.4,v3.4,O,O,X,4.0后改为使用biQueryGenerationPath
,biGetLanguage,v2.1,-,O,O,O,
,biGetLocalVariable,v5.2,-,O,O,O,
,biGetManualTriggerNames,v2.4,-,O,O,O,
,biGetNativeModuleVersions,v4.4,-,O,O,O,
,biGetPlatform,v2.3,-,O,O,O,
,biGetPythonTemplateNames,v6.5,-,X,O,O,
,biGetRunningMode,v2.3,-,O,O,O,
,biGetSessionPath,v2.4,v3.4,O,O,X,4.0后改为使用biQuerySessionPath
,biGetSubDataPaths,v4.4,-,O,O,O,
,biGetSystemStatus,v4.4,-,O,O,O,
,biGetUIBackend,v5.1,-,O,O,O,
,biGetWebEngine,v4.4,-,O,O,O,
,biIsFileExist,v2.3,v3.4,O,O,X,4.0后改为使用biQueryFileExist
,biIsDirectoryExist,v2.3,v3.4,O,O,X,4.0后改为使用biQueryDirectoryExist
,biListenGeneralSample,v4.0,-,O,X,X,
,biLog,v2.4,-,O,O,O,
,biOpenChildDialog,v6.0,-,O,O,O,
,biOpenDialog,v2.3,-,O,X,X,
,biOpenHTMLDialog,v2.3,-,O,X,X,
,biPrint,v1.0,-,O,O,O,
